"","open","high","low","close","volume","adjusted"
"2018-01-02",545.23999,545.380005,540.340027,544.789978,64576900,544.789978
"2018-01-03",546.460022,551.02002,546.099976,549.340027,93687300,549.340027
"2018-01-04",551.369995,555,550.909973,554.059998,94628400,554.059998
"2018-01-05",554.590027,558.159973,554.169983,558.159973,76775500,558.159973
"2018-01-08",559.820007,561.320007,559.530029,560.890015,66889500,560.890015
"2018-01-09",562.23999,563.309998,561.23999,563.039978,104849200,563.039978
"2018-01-10",562.169983,563.299988,559.159973,560.440002,110080700,560.440002
"2018-01-11",561.330017,561.330017,557.830017,558.890015,100225100,558.890015
"2018-01-12",559.98999,561.099976,557.929993,561.099976,84925800,561.099976
"2018-01-15",561.5,562.22998,559.859985,561.059998,55010800,561.059998
"2018-01-16",561.700012,562.700012,560.26001,561.179993,72831800,561.179993
"2018-01-17",561.719971,564.090027,561.330017,563.280029,85777000,563.280029
"2018-01-18",565.880005,566.48999,564.150024,566.48999,87099200,566.48999
"2018-01-19",565.669983,570.27002,565.539978,569.299988,82275600,569.299988
"2018-01-22",569.080017,570.900024,568.859985,570.820007,74479900,570.820007
"2018-01-23",572.75,572.809998,569.26001,570.599976,90079800,570.599976
"2018-01-24",570.039978,570.440002,566.039978,566.039978,77752000,566.039978
"2018-01-25",564.799988,569.210022,563.349976,565.070007,82339700,565.070007
"2018-01-26",565,567.700012,564.400024,566.789978,59366000,566.789978
"2018-01-29",567.580017,567.580017,565.080017,566.059998,66977800,566.059998
"2018-01-30",563.22998,564.76001,559.880005,561,91545100,561
"2018-01-31",560.429993,562.080017,559.150024,560.52002,105548900,560.52002
"2018-02-01",563.02002,563.539978,555.840027,556.869995,99998800,556.869995
"2018-02-02",555.700012,555.700012,549.950012,550.080017,88861000,550.080017
"2018-02-05",544.070007,545.159973,540.77002,542.650024,96139500,542.650024
"2018-02-06",523.190002,533.599976,522.200012,526.179993,184754700,526.179993
"2018-02-07",533.72998,537.719971,529.52002,536.359985,123695600,536.359985
"2018-02-08",532.940002,533.869995,524.210022,526.119995,113282100,526.119995
"2018-02-09",522.969971,525.400024,515.960022,518.330017,134030200,518.330017
"2018-02-12",524.299988,526.570007,521.609985,524.099976,91581600,524.099976
"2018-02-13",524.780029,525.27002,520.570007,520.570007,76844100,520.570007
"2018-02-14",523.97998,527.47998,518.049988,525.640015,99078300,525.640015
"2018-02-15",528.059998,529.429993,525.580017,527.570007,99601600,527.570007
"2018-02-16",530.719971,533,529.960022,532.27002,86716700,532.27002
"2018-02-19",533.789978,533.789978,527.849976,528.76001,50483000,528.76001
"2018-02-20",528.679993,533.330017,528.02002,532.929993,70868200,532.929993
"2018-02-21",531.460022,534.469971,529.539978,533.950012,72675200,533.950012
"2018-02-22",530.109985,533.51001,528.369995,532.640015,77882200,532.640015
"2018-02-23",533.679993,534.580017,531.22998,534.090027,55857500,534.090027
"2018-02-26",536.880005,540.179993,536.640015,538.309998,61694300,538.309998
"2018-02-27",540.359985,540.650024,536.570007,537.830017,75948900,537.830017
"2018-02-28",535.690002,539.080017,535.23999,535.580017,88015800,535.580017
"2018-03-01",533.049988,533.380005,527.099976,529.590027,91367500,529.590027
"2018-03-02",524.780029,525.609985,517.27002,518.719971,109443800,518.719971
"2018-03-05",517.789978,527.320007,517.789978,526.51001,82547100,526.51001
"2018-03-06",530.919983,531.070007,528.330017,528.359985,77067600,528.359985
"2018-03-07",526.02002,531.22998,524.830017,530.710022,77504400,530.710022
"2018-03-08",531.330017,536.559998,530.440002,535.219971,89530700,535.219971
"2018-03-09",534.869995,537.909973,534.320007,537.140015,70382500,537.140015
"2018-03-12",539.72998,539.75,536.25,538.429993,60211000,538.429993
"2018-03-13",538.530029,539.530029,530.52002,532.52002,81458300,532.52002
"2018-03-14",531.22998,534.640015,529.890015,530.969971,81665000,530.969971
"2018-03-15",532.929993,534.289978,530.77002,533.299988,78266700,533.299988
"2018-03-16",533.530029,537.820007,533.359985,536.919983,186242000,536.919983
"2018-03-19",536.289978,536.76001,530.309998,531.52002,75853600,531.52002
"2018-03-20",532.450012,536.109985,530.789978,535.450012,75764500,535.450012
"2018-03-21",535.460022,536.570007,533.219971,536.47998,76075800,536.47998
"2018-03-22",532.809998,536.049988,524.570007,528.369995,105186400,528.369995
"2018-03-23",523.669983,525.23999,517.880005,521.450012,100545100,521.450012
"2018-03-26",522.679993,524.799988,516.580017,518.75,79409100,518.75
"2018-03-27",527.159973,528.140015,524.909973,525.76001,85944300,525.76001
"2018-03-28",521.039978,527.099976,517.700012,527,101434200,527
"2018-03-29",528.130005,532.219971,526.22998,529.52002,80966900,529.52002
"2018-04-03",525.320007,530.400024,524.289978,528.47998,78799800,528.47998
"2018-04-04",528.960022,529.390015,521.679993,526.190002,88481800,526.190002
"2018-04-05",534.450012,541.099976,533.640015,540.48999,96726600,540.48999
"2018-04-06",538.109985,541.140015,537.599976,539.289978,80339000,539.289978
"2018-04-09",540.390015,541.650024,537.530029,539.900024,65370100,539.900024
"2018-04-10",543.109985,545.570007,541.390015,545.25,86666300,545.25
"2018-04-11",544.190002,545.530029,542.159973,544.5,78454600,544.5
"2018-04-12",545.099976,548.75,544.559998,547.900024,91060600,547.900024
"2018-04-13",547.98999,549.070007,546.539978,548.049988,75096800,548.049988
"2018-04-16",548.429993,549.02002,545.960022,546.619995,70214700,546.619995
"2018-04-17",548.099976,552.330017,547.309998,551.320007,76949000,551.320007
"2018-04-18",550.619995,553.830017,550.619995,553.349976,92278100,553.349976
"2018-04-19",553.719971,553.830017,550.01001,551.309998,76254500,551.309998
"2018-04-20",549.130005,552.039978,548.570007,550.380005,91861000,550.380005
"2018-04-23",550.169983,554.330017,549.02002,554.25,76258000,554.25
"2018-04-24",552.47998,556.51001,552.289978,556.440002,80290700,556.440002
"2018-04-25",551.080017,553.570007,548.789978,551.72998,89744300,551.72998
"2018-04-26",549.900024,554.76001,548.840027,554.409973,107421800,554.409973
"2018-04-27",554.840027,556.150024,553.159973,554.940002,79637400,554.940002
"2018-04-30",554.22998,555.890015,553.919983,555.72998,77035600,555.72998
"2018-05-02",555.539978,557.690002,555.070007,555.859985,95419100,555.859985
"2018-05-03",554.23999,555.299988,550.419983,551.72998,85234500,551.72998
"2018-05-04",552.650024,555.76001,552.369995,555.700012,78404100,555.700012
"2018-05-07",555.22998,557.969971,554.98999,557.859985,42507100,557.859985
"2018-05-08",557.23999,559.73999,556.659973,558.51001,82714600,558.51001
"2018-05-09",559.039978,561.51001,558.450012,561.51001,107524700,561.51001
"2018-05-10",561.109985,563.119995,560.460022,562.179993,73385500,562.179993
"2018-05-11",561.630005,562.940002,560.380005,562.27002,82647300,562.27002
"2018-05-14",562.109985,563.570007,561.52002,563.52002,72412400,563.52002
"2018-05-15",562.5,565.77002,561.98999,564.48999,90357400,564.48999
"2018-05-16",562.98999,565.47998,562.98999,565.130005,82183400,565.130005
"2018-05-17",565.140015,568.960022,564.950012,568.960022,97186900,568.960022
"2018-05-18",567.710022,570.219971,565.099976,567.030029,94962300,567.030029
"2018-05-21",568.22998,571.080017,568.059998,570.070007,110470200,570.070007
"2018-05-22",569.799988,572.900024,569.130005,572.049988,117381900,572.049988
"2018-05-23",569.950012,570.080017,563.299988,565.070007,152487400,565.070007
"2018-05-24",565.48999,567.849976,560.47998,561.619995,114082100,561.619995
"2018-05-25",564.320007,565.309998,559.960022,562.77002,94095100,562.77002
"2018-05-28",564.840027,565.340027,558.119995,559.840027,58581300,559.840027
"2018-05-29",556.809998,558.200012,550.380005,554.77002,122380000,554.77002
"2018-05-30",554.880005,557.599976,553.200012,557.599976,99352700,557.599976
"2018-05-31",558.820007,559.26001,552.359985,552.849976,139165000,552.849976
"2018-06-01",556.52002,560.859985,556.429993,559.179993,96199600,559.179993
"2018-06-04",562.210022,563.530029,560.820007,561.700012,86140400,561.700012
"2018-06-05",561.369995,565.950012,560.909973,562.780029,89414700,562.780029
"2018-06-06",563.23999,564.619995,558.26001,562.23999,88079100,562.23999
"2018-06-07",565.22998,565.22998,559.960022,562.039978,94237300,562.039978
"2018-06-08",558.039978,561.390015,555.77002,560.030029,94424500,560.030029
"2018-06-11",562.289978,565.48999,561.700012,564.840027,82924700,564.840027
"2018-06-12",567.059998,567.570007,562.380005,563.01001,75803200,563.01001
"2018-06-13",563.5,566.380005,563.159973,563.950012,89105800,563.950012
"2018-06-14",560.659973,568.51001,557.390015,567.530029,109746100,567.530029
"2018-06-15",567.830017,569.159973,561.710022,561.710022,176439300,561.710022
"2018-06-18",560.27002,561.429993,556.5,559.679993,84663000,559.679993
