"","open","high","low","close","volume","adjusted"
"2018-01-02",111.139999,112.589996,110.589996,110.980003,620100,110.980003
"2018-01-03",110.160004,111.459999,109.239998,111.309998,567700,111.309998
"2018-01-04",111.389999,111.57,109.830002,109.860001,728900,109.860001
"2018-01-05",110.260002,111.379997,109.730003,110.870003,812600,110.870003
"2018-01-08",110.690002,111.470001,109.910004,111.400002,901700,111.400002
"2018-01-09",111.709999,113.220001,111.660004,112.93,555500,112.93
"2018-01-10",112.900002,112.900002,111.449997,111.68,472400,111.68
"2018-01-11",111.900002,112.580002,111.160004,111.529999,681600,111.529999
"2018-01-12",107,109.940002,107,108.489998,1462200,108.489998
"2018-01-16",108.809998,110.239998,107.540001,108.080002,997500,108.080002
"2018-01-17",108.739998,109.620003,108.110001,109.32,820900,109.32
"2018-01-18",109.089996,109.970001,108.860001,109.57,545800,109.57
"2018-01-19",110,111.25,109.599998,110.32,562400,110.32
"2018-01-22",109.779999,110.349998,109.529999,110.019997,577900,110.019997
"2018-01-23",109.769997,111.169998,109.449997,110.809998,737300,110.809998
"2018-01-24",111.370003,113.989998,111.129997,113.050003,1191300,113.050003
"2018-01-25",123,129.050003,121.120003,127.010002,4642000,127.010002
"2018-01-26",127.400002,130.289993,127.040001,129.460007,1715400,129.460007
"2018-01-29",129.190002,130.210007,128.300003,128.570007,969100,128.570007
"2018-01-30",127.379997,128.880005,127.019997,127.739998,960900,127.739998
"2018-01-31",128.070007,129.190002,127.010002,127.5,733100,127.5
"2018-02-01",126.779999,127.720001,125.940002,127.32,760300,127.32
"2018-02-02",127.080002,127.910004,124.839996,124.860001,691600,124.860001
"2018-02-05",124.489998,124.839996,119.589996,119.620003,1070000,119.620003
"2018-02-06",117.860001,119.940002,116.25,118.580002,1367800,118.580002
"2018-02-07",118.239998,118.900002,116.739998,116.919998,924100,116.919998
"2018-02-08",116.870003,117.029999,112.790001,112.82,905100,112.82
"2018-02-09",113.739998,115.300003,111.5,114.5,928100,114.5
"2018-02-12",115.269997,117.75,114.870003,116.699997,793700,116.699997
"2018-02-13",116.25,116.870003,114.760002,116.239998,672000,116.239998
"2018-02-14",115.580002,119.709999,115.290001,119.529999,816700,119.529999
"2018-02-15",120.230003,121.949997,119.5,121.870003,1026000,121.870003
"2018-02-16",121.330002,122.849998,120.260002,121.260002,595500,121.260002
"2018-02-20",120.650002,121.800003,119.709999,120.169998,815100,120.169998
"2018-02-21",120.25,122.529999,119.739998,120.129997,591300,120.129997
"2018-02-22",120.599998,122.379997,119.410004,119.839996,586600,119.839996
"2018-02-23",120.379997,121.239998,119.239998,121.169998,317100,121.169998
"2018-02-26",121.410004,122.639999,120.900002,122.389999,314800,122.389999
"2018-02-27",122.660004,123.099998,121.540001,121.610001,488300,121.610001
"2018-02-28",122.260002,122.599998,119.339996,119.339996,677000,119.339996
"2018-03-01",119.5,119.629997,116.220001,117.389999,882300,117.389999
"2018-03-02",116.690002,120.68,116.199997,120.489998,428200,120.489998
"2018-03-05",119.989998,122.949997,119.639999,122.660004,660000,122.660004
"2018-03-06",122.760002,123.489998,122.059998,123.440002,350300,123.440002
"2018-03-07",122.220001,124.139999,122.220001,123.699997,486600,123.699997
"2018-03-08",124.120003,124.480003,123.089996,123.510002,514700,123.510002
"2018-03-09",124.419998,126.839996,123.980003,126.550003,438800,126.550003
"2018-03-12",126.449997,126.900002,125.699997,126.550003,400500,126.550003
"2018-03-13",127,127,125.089996,125.489998,377800,125.489998
"2018-03-14",126.07,126.389999,124.720001,125.739998,462800,125.739998
