"","open","high","low","close","volume","adjusted"
"2018-01-02",114.690002,115.129997,109.32,109.470001,1396500,109.470001
"2018-01-03",109.720001,111.029999,108.550003,110.900002,1188200,110.900002
"2018-01-04",111.540001,112.349998,110.599998,111.470001,716200,111.470001
"2018-01-05",111.790001,113.019997,111.730003,113,511400,113
"2018-01-08",112.440002,114.599998,112.269997,114.309998,674400,114.309998
"2018-01-09",114.790001,114.790001,112.110001,112.970001,917200,112.970001
"2018-01-10",112.43,112.610001,111.739998,111.959999,586100,111.959999
"2018-01-11",112.32,112.809998,111.599998,112.230003,745100,112.230003
"2018-01-12",112.230003,113.790001,112.010002,113.610001,648600,113.610001
"2018-01-16",113.75,114.029999,112.5,112.650002,651000,112.650002
"2018-01-17",113.07,114.470001,112.980003,114,688000,114
"2018-01-18",114.089996,115.169998,114.089996,114.540001,729900,114.540001
"2018-01-19",115.07,115.260002,114.099998,114.480003,858900,114.480003
"2018-01-22",114.480003,115.080002,114.25,114.459999,980800,114.459999
"2018-01-23",114.400002,115.989998,114.309998,115.769997,621100,115.769997
"2018-01-24",116.07,116.620003,115.349998,115.769997,474500,115.769997
"2018-01-25",116.279999,116.639999,115.629997,115.989998,551800,115.989998
"2018-01-26",116.620003,116.629997,115.150002,115.309998,617100,115.309998
"2018-01-29",114.889999,115.440002,111.919998,112.410004,941300,112.410004
"2018-01-30",111.650002,113.120003,111.510002,112.150002,476600,112.150002
"2018-01-31",112.349998,115.32,112.220001,114.919998,939000,114.919998
"2018-02-01",114.209999,116.339996,113.639999,114.699997,860300,114.699997
"2018-02-02",113.849998,114.419998,112.459999,112.510002,860200,112.510002
"2018-02-05",111.900002,113.239998,108.699997,108.730003,1011200,108.730003
"2018-02-06",106.919998,109.849998,106.089996,109.410004,1171600,109.410004
"2018-02-07",109.110001,110.910004,108.190002,109.110001,994400,109.110001
"2018-02-08",109.239998,110,105.529999,105.620003,1238700,105.620003
"2018-02-09",107.300003,110.629997,105.400002,109.089996,2231000,109.089996
"2018-02-12",109.559998,111.529999,109.279999,111.029999,3585200,111.029999
"2018-02-13",110.449997,111.410004,109.199997,110.57,1054400,110.57
"2018-02-14",110.18,114.029999,110,113.980003,826000,113.980003
"2018-02-15",114.800003,116.480003,114.169998,116.349998,1007200,116.349998
"2018-02-16",116.470001,121.610001,116.230003,120.550003,2361100,120.550003
"2018-02-20",119.699997,120,116.18,116.339996,1942300,116.339996
"2018-02-21",116.830002,118.110001,115.580002,115.699997,1212900,115.699997
"2018-02-22",116.470001,117.730003,114.529999,114.919998,936200,114.919998
"2018-02-23",115.489998,118.120003,114.790001,117.639999,745300,117.639999
"2018-02-26",118.459999,118.989998,116.620003,117.25,864100,117.25
"2018-02-27",117.589996,118.480003,116.410004,116.410004,869000,116.410004
"2018-02-28",117.099998,118.360001,116,116.019997,904500,116.019997
"2018-03-01",116.059998,116.860001,113.779999,115.019997,804200,115.019997
"2018-03-02",113.970001,115.989998,113.040001,115.779999,603800,115.779999
"2018-03-05",115.099998,117.400002,114.879997,117.260002,567600,117.260002
"2018-03-06",117.650002,118.449997,116.120003,117.449997,598200,117.449997
"2018-03-07",116.610001,118.489998,116.32,117.93,1255400,117.93
"2018-03-08",117.419998,118.440002,116.660004,118.349998,1898000,118.349998
"2018-03-09",119.279999,120.910004,117.760002,120.459999,1220200,120.459999
"2018-03-12",120.720001,120.989998,119.839996,120.239998,925900,120.239998
"2018-03-13",120.720001,120.989998,120.080002,120.510002,1321800,120.510002
"2018-03-14",121,125.07,120.209999,123.010002,2026000,123.010002
"2018-03-15",123.769997,126.5,123.769997,125.309998,1834900,125.309998
"2018-03-16",125.57,127.239998,125.57,125.919998,2011200,125.919998
"2018-03-19",125.139999,126.389999,123.139999,124.220001,1546300,124.220001
